Spring,2015
Course Description AHRS EHRS Grade,Points
NURS 470 Acute+Chronic Ill Mgt II 10.000 10.000 B,30.000
NURS 471 Mental Health Nursing 5.000 5.000 A,20.000
Cum GPA 3.600 108.000 102.000 105.000,378.000
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.600 118.000 112.000 105.000,378.000
Cum GPA 3.567 139.000 117.000 120.000,428.000
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.567 149.000 127.000 120.000,428.000
Course Description AHRS EHRS Grade,Points
NURS 366 Acute+Chronic Ill Mgt I 10.000 10.000 B,30.000
NURS 368 Nurs Care Chldbrng Fam 5.000 5.000 A,20.000
Course Description AHRS EHRS Grade,Points
NURS 473 Pop Hlth+Community Nurs 5.000 0.000,0.000
NURS 478 Nurs Ldrshp+Mgt Hlth Sys 5.000 0.000,0.000
NURS 479 Trans to Prof Nurs Role 6.000 0.000,0.000
Course Description AHRS EHRS Grade,Points
NURS 350 Pathophysiology 3.000 3.000 A,12.000
NURS 356 Fndtions in Nursing Care 7.000 7.000 A,28.000
NURS 379 Sch Inq Evid-Based Pract 2.000 2.000 A,8.000
NURS 472A Nursing Pharmacology 3.000 3.000 B,9.000
Term GPA 3.800 15.000 15.000 15.000,57.000
Transfer Term GPA 0.000 0.000 0.000,0.000
Combined GPA 3.800 15.000 15.000 15.000,57.000
Term GPA 0.000 16.000 0.000 0.000,0.000
Transfer Term GPA 0.000 0.000 0.000,0.000
Combined GPA 0.000 16.000 0.000 0.000,0.000
Term GPA 3.333 15.000 15.000 15.000,50.000
Transfer Term GPA 0.000 0.000 0.000,0.000
Combined GPA 3.333 15.000 15.000 15.000,50.000
Course Description AHRS EHRS Grade,Points
MUS 109 Rock Amer Pop Music 3.000 3.000 B,9.000
Cum GPA 3.667 90.000 84.000 87.000,319.000
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.667 100.000 94.000 87.000,319.000
Term GPA 3.000 3.000 3.000 3.000,9.000
Transfer Term GPA 0.000 0.000 0.000,0.000
Combined GPA 3.000 3.000 3.000 3.000,9.000
Cum GPA 3.644 93.000 87.000 90.000,328.000
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.644 103.000 97.000 90.000,328.000
Cum GPA 3.231 16.000 13.000 13.000,42.000
